Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
13,CA-2015-100012,2015-12-06,2015-12-12,Standard Class,CG-1012,Customer 1012,Consumer,United States,Seattle,Florida,75733,West,TE-99045,Technology,Accessories,Accessories Model 610,1233.11,7,0.2,209.84
14,CA-2017-100013,2017-03-27,2017-03-31,Second Class,CG-1013,Customer 1013,Consumer,United States,Chicago,Florida,12911,South,TE-77270,Technology,Machines,Machines Model 919,1001.53,3,0.1,45.05
15,CA-2014-100014,2014-08-11,2014-08-15,Second Class,CG-1014,Customer 1014,Consumer,United States,Houston,Texas,26371,West,OF-87371,Office Supplies,Labels,Labels Model 980,33.92,1,0.0,9.43
16,CA-2017-100015,2017-05-27,2017-06-01,Standard Class,CG-1015,Customer 1015,Consumer,United States,Chicago,Florida,16295,East,TE-69040,Technology,Copiers,Copiers Model 727,283.11,1,0.0,106.43
17,CA-2015-100016,2015-04-03,2015-04-05,Same Day,CG-1016,Customer 1016,Consumer,United States,Seattle,California,48467,Central,TE-33328,Technology,Accessories,Accessories Model 497,2385.09,6,0.0,448.37
18,CA-2016-100017,2016-12-19,2016-12-21,Same Day,CG-1017,Customer 1017,Home Office,United States,Seattle,New York,86213,West,OF-15895,Office Supplies,Paper,Paper Model 382,225.42,7,0.4,33.16
19,CA-2014-100018,2014-01-16,2014-01-17,Same Day,CG-1018,Customer 1018,Corporate,United States,Chicago,Florida,73208,Central,OF-43828,Office Supplies,Paper,Paper Model 379,245.2,4,0.15,24.7
20,CA-2014-100019,2014-12-20,2014-12-22,First Class,CG-1019,Customer 1019,Consumer,United States,New York,New York,36641,West,OF-44584,Office Supplies,Labels,Labels Model 834,152.42,5,0.3,21.55
21,CA-2017-100020,2017-02-15,2017-02-17,Same Day,CG-1020,Customer 1020,Corporate,United States,New York,California,88069,East,FU-64748,Furniture,Tables,Tables Model 781,2022.3,7,0.1,-283.9
22,CA-2015-100021,2015-12-07,2015-12-08,Same Day,CG-1021,Customer 1021,Corporate,United States,Houston,New York,65766,Central,FU-23403,Furniture,Chairs,Chairs Model 453,1000.17,4,0.3,-82.76
23,CA-2016-100022,2016-10-22,2016-10-28,Standard Class,CG-1022,Customer 1022,Home Office,United States,Seattle,Florida,13051,East,OF-58747,Office Supplies,Storage,Storage Model 104,65.0,2,0.4,0.66
24,CA-2016-100023,2016-03-08,2016-03-12,Second Class,CG-1023,Customer 1023,Corporate,United States,Chicago,California,83847,Central,TE-92750,Technology,Copiers,Copiers Model 886,1676.67,5,0.1,438.27
25,CA-2015-100024,2015-05-23,2015-05-26,Second Class,CG-1024,Customer 1024,Corporate,United States,Los Angeles,California,55543,South,TE-66556,Technology,Phones,Phones Model 984,289.62,1,0.2,33.3
26,CA-2014-100025,2014-06-23,2014-06-28,Standard Class,CG-1025,Customer 1025,Consumer,United States,Seattle,California,71389,West,OF-19435,Office Supplies,Labels,Labels Model 168,162.78,4,0.1,34.22
27,CA-2017-100026,2017-05-16,2017-05-18,Same Day,CG-1026,Customer 1026,Consumer,United States,Los Angeles,Texas,89605,Central,TE-78385,Technology,Accessories,Accessories Model 279,607.44,2,0.3,31.11
28,CA-2017-100027,2017-01-05,2017-01-06,Same Day,CG-1027,Customer 1027,Corporate,United States,Houston,New York,76387,Central,OF-28071,Office Supplies,Binders,Binders Model 789,255.62,4,0.5,-18.84
29,CA-2017-100028,2017-05-03,2017-05-05,First Class,CG-1028,Customer 1028,Consumer,United States,Los Angeles,Washington,37350,Central,OF-35351,Office Supplies,Storage,Storage Model 704,32.95,1,0.1,1.71
30,CA-2016-100029,2016-09-04,2016-09-07,First Class,CG-1029,Customer 1029,Corporate,United States,Seattle,Florida,43496,East,TE-70692,Technology,Accessories,Accessories Model 860,1876.56,5,0.1,365.01
31,CA-2017-100030,2017-03-04,2017-03-10,Standard Class,CG-1030,Customer 1030,Corporate,United States,Houston,California,30150,South,OF-81180,Office Supplies,Storage,Storage Model 378,46.97,1,0.5,-0.58
32,CA-2017-100031,2017-04-25,2017-05-01,Standard Class,CG-1031,Customer 1031,Home Office,United States,Houston,Florida,73932,West,TE-82936,Technology,Phones,Phones Model 175,925.9,5,0.15,179.22
33,CA-2016-100032,2016-04-26,2016-04-27,Same Day,CG-1032,Customer 1032,Home Office,United States,Houston,Washington,70566,West,FU-76703,Furniture,Bookcases,Bookcases Model 668,1448.8,5,0.3,-198.38
34,CA-2014-100033,2014-10-03,2014-10-05,First Class,CG-1033,Customer 1033,Consumer,United States,Houston,California,33625,Central,FU-92873,Furniture,Tables,Tables Model 591,2369.34,5,0.15,-569.71
35,CA-2015-100034,2015-08-09,2015-08-15,Standard Class,CG-1034,Customer 1034,Consumer,United States,Seattle,California,93285,West,FU-67854,Furniture,Tables,Tables Model 426,730.16,3,0.1,-93.99
36,CA-2014-100035,2014-03-12,2014-03-14,Same Day,CG-1035,Customer 1035,Consumer,United States,Chicago,New York,96188,West,OF-14748,Office Supplies,Envelopes,Envelopes Model 853,242.77,7,0.15,53.09
37,CA-2016-100036,2016-09-01,2016-09-02,Same Day,CG-1036,Customer 1036,Corporate,United States,New York,Washington,77641,South,TE-46395,Technology,Copiers,Copiers Model 784,2404.6,5,0.2,621.15
38,CA-2014-100037,2014-06-11,2014-06-13,Same Day,CG-1037,Customer 1037,Consumer,United States,Houston,California,81726,South,TE-27640,Technology,Phones,Phones Model 404,1698.61,5,0.2,182.33
39,CA-2016-100038,2016-06-16,2016-06-19,Second Class,CG-1038,Customer 1038,Home Office,United States,Los Angeles,Florida,71529,East,OF-94665,Office Supplies,Art,Art Model 415,36.33,1,0.15,8.01
40,CA-2016-100039,2016-06-17,2016-06-19,First Class,CG-1039,Customer 1039,Consumer,United States,Houston,Washington,37532,East,FU-44349,Furniture,Furnishings,Furnishings Model 646,498.75,1,0.3,16.4
41,CA-2015-100040,2015-09-10,2015-09-16,Standard Class,CG-1040,Customer 1040,Corporate,United States,New York,Texas,18415,West,FU-72292,Furniture,Furnishings,Furnishings Model 381,2488.53,6,0.1,324.39
42,CA-2015-100041,2015-01-09,2015-01-14,Standard Class,CG-1041,Customer 1041,Consumer,United States,Houston,California,70100,Central,FU-19860,Furniture,Bookcases,Bookcases Model 969,1343.54,7,0.0,-225.11
43,CA-2015-100042,2015-10-19,2015-10-24,Standard Class,CG-1042,Customer 1042,Consumer,United States,Houston,California,47744,Central,OF-55543,Office Supplies,Art,Art Model 899,151.69,5,0.4,1.1
44,CA-2015-100043,2015-02-22,2015-02-25,Second Class,CG-1043,Customer 1043,Home Office,United States,Houston,Washington,34285,East,TE-47626,Technology,Accessories,Accessories Model 924,1363.62,3,0.1,260.39
45,CA-2015-100044,2015-05-02,2015-05-07,Standard Class,CG-1044,Customer 1044,Home Office,United States,Chicago,New York,71886,West,TE-85745,Technology,Machines,Machines Model 407,539.8,3,0.5,-38.31
46,CA-2015-100045,2015-07-19,2015-07-20,Same Day,CG-1045,Customer 1045,Corporate,United States,New York,Texas,29963,West,OF-65123,Office Supplies,Labels,Labels Model 168,141.64,5,0.3,23.61
47,CA-2016-100046,2016-11-16,2016-11-19,Second Class,CG-1046,Customer 1046,Corporate,United States,Houston,California,93807,East,OF-43434,Office Supplies,Art,Art Model 192,77.85,3,0.5,5.49
48,CA-2014-100047,2014-05-18,2014-05-21,First Class,CG-1047,Customer 1047,Corporate,United States,New York,Washington,26907,South,OF-28777,Office Supplies,Storage,Storage Model 145,45.31,2,0.3,1.85
49,CA-2015-100048,2015-09-25,2015-09-27,First Class,CG-1048,Customer 1048,Consumer,United States,New York,California,89714,East,OF-60428,Office Supplies,Art,Art Model 791,24.43,1,0.4,2.4
50,CA-2017-100049,2017-10-23,2017-10-27,Second Class,CG-1049,Customer 1049,Home Office,United States,Chicago,New York,15126,Central,OF-15122,Office Supplies,Envelopes,Envelopes Model 722,48.32,2,0.3,2.98
51,CA-2015-100050,2015-02-06,2015-02-11,Standard Class,CG-1050,Customer 1050,Corporate,United States,New York,California,16229,Central,OF-66793,Office Supplies,Appliances,Appliances Model 225,74.49,3,0.5,-8.68
52,CA-2015-100051,2015-04-03,2015-04-08,Standard Class,CG-1051,Customer 1051,Consumer,United States,Los Angeles,California,33275,South,FU-82274,Furniture,Furnishings,Furnishings Model 653,1090.65,5,0.1,113.04
53,CA-2016-100052,2016-02-24,2016-02-25,Same Day,CG-1052,Customer 1052,Consumer,United States,Houston,New York,86125,West,OF-23918,Office Supplies,Binders,Binders Model 763,247.62,5,0.4,18.47
54,CA-2014-100053,2014-08-04,2014-08-07,First Class,CG-1053,Customer 1053,Consumer,United States,Houston,New York,97886,Central,TE-10117,Technology,Machines,Machines Model 980,1895.16,7,0.4,-215.25
55,CA-2017-100054,2017-11-26,2017-11-29,Second Class,CG-1054,Customer 1054,Corporate,United States,Houston,California,88477,East,OF-52533,Office Supplies,Paper,Paper Model 904,160.12,5,0.2,31.96
56,CA-2014-100055,2014-03-06,2014-03-09,First Class,CG-1055,Customer 1055,Home Office,United States,Houston,Texas,15287,East,FU-44387,Furniture,Chairs,Chairs Model 420,394.98,2,0.3,1.1
57,CA-2015-100056,2015-08-23,2015-08-25,First Class,CG-1056,Customer 1056,Consumer,United States,New York,Texas,94555,Central,TE-83698,Technology,Phones,Phones Model 646,2595.33,6,0.5,-102.34
58,CA-2014-100057,2014-11-05,2014-11-07,Same Day,CG-1057,Customer 1057,Corporate,United States,Seattle,Washington,29282,West,TE-33930,Technology,Phones,Phones Model 177,1642.85,4,0.4,132.97
59,CA-2015-100058,2015-09-08,2015-09-12,Second Class,CG-1058,Customer 1058,Corporate,United States,New York,California,77728,East,OF-44016,Office Supplies,Art,Art Model 602,445.17,7,0.4,49.24
60,CA-2016-100059,2016-07-06,2016-07-09,First Class,CG-1059,Customer 1059,Corporate,United States,Los Angeles,Florida,90910,East,TE-81324,Technology,Copiers,Copiers Model 388,1107.54,3,0.5,252.66
61,CA-2014-100060,2014-06-01,2014-06-06,Standard Class,CG-1060,Customer 1060,Corporate,United States,Los Angeles,Washington,53872,South,FU-56197,Furniture,Furnishings,Furnishings Model 905,2448.95,5,0.15,192.42
62,CA-2017-100061,2017-04-15,2017-04-16,Same Day,CG-1061,Customer 1061,Home Office,United States,Houston,Washington,30609,West,OF-26478,Office Supplies,Art,Art Model 726,161.86,5,0.3,23.93
63,CA-2015-100062,2015-11-10,2015-11-12,Same Day,CG-1062,Customer 1062,Corporate,United States,Houston,Texas,85916,Central,TE-83319,Technology,Phones,Phones Model 309,1630.31,6,0.4,-0.3
64,CA-2017-100063,2017-12-04,2017-12-07,First Class,CG-1063,Customer 1063,Consumer,United States,Los Angeles,California,75310,West,TE-65176,Technology,Copiers,Copiers Model 150,1819.62,4,0.3,517.07
65,CA-2014-100064,2014-07-14,2014-07-16,First Class,CG-1064,Customer 1064,Corporate,United States,Seattle,California,85060,West,FU-67545,Furniture,Tables,Tables Model 535,2681.65,5,0.1,-279.33
66,CA-2014-100065,2014-04-26,2014-04-28,First Class,CG-1065,Customer 1065,Consumer,United States,Chicago,Texas,46368,West,OF-16783,Office Supplies,Storage,Storage Model 975,278.32,6,0.1,50.49
67,CA-2015-100066,2015-04-21,2015-04-24,First Class,CG-1066,Customer 1066,Home Office,United States,Los Angeles,Washington,37696,Central,TE-80480,Technology,Phones,Phones Model 183,440.1,1,0.0,51.23
68,CA-2014-100067,2014-08-07,2014-08-08,Same Day,CG-1067,Customer 1067,Consumer,United States,Chicago,New York,12079,West,OF-12717,Office Supplies,Envelopes,Envelopes Model 384,282.14,5,0.4,33.63
69,CA-2015-100068,2015-01-19,2015-01-22,Second Class,CG-1068,Customer 1068,Consumer,United States,Chicago,Florida,65168,West,OF-62487,Office Supplies,Storage,Storage Model 154,99.9,2,0.1,15.64
70,CA-2017-100069,2017-02-01,2017-02-03,First Class,CG-1069,Customer 1069,Home Office,United States,Seattle,California,86534,Central,OF-65106,Office Supplies,Binders,Binders Model 542,448.72,7,0.2,-1.58
71,CA-2016-100070,2016-05-19,2016-05-21,First Class,CG-1070,Customer 1070,Consumer,United States,Houston,Florida,96925,Central,OF-76358,Office Supplies,Paper,Paper Model 106,214.02,4,0.5,5.08
72,CA-2017-100071,2017-03-18,2017-03-21,First Class,CG-1071,Customer 1071,Home Office,United States,Chicago,Texas,25358,East,OF-86918,Office Supplies,Art,Art Model 495,49.03,1,0.5,3.5
73,CA-2014-100072,2014-02-12,2014-02-17,Standard Class,CG-1072,Customer 1072,Consumer,United States,New York,Texas,45954,South,OF-37856,Office Supplies,Envelopes,Envelopes Model 625,247.35,4,0.1,51.84
74,CA-2015-100073,2015-06-11,2015-06-17,Standard Class,CG-1073,Customer 1073,Corporate,United States,Seattle,Texas,84532,West,OF-91994,Office Supplies,Labels,Labels Model 937,197.99,4,0.1,42.48
75,CA-2014-100074,2014-02-05,2014-02-08,Second Class,CG-1074,Customer 1074,Consumer,United States,Chicago,Texas,56828,East,FU-57924,Furniture,Chairs,Chairs Model 554,2916.62,6,0.1,208.59
76,CA-2015-100075,2015-10-02,2015-10-04,Same Day,CG-1075,Customer 1075,Consumer,United States,Seattle,Florida,97410,East,FU-88617,Furniture,Chairs,Chairs Model 128,1536.25,6,0.15,82.74
77,CA-2016-100076,2016-01-07,2016-01-09,Same Day,CG-1076,Customer 1076,Home Office,United States,Seattle,California,69129,West,TE-84478,Technology,Copiers,Copiers Model 247,889.06,3,0.4,228.84
78,CA-2014-100077,2014-11-11,2014-11-15,Second Class,CG-1077,Customer 1077,Home Office,United States,New York,California,45111,Central,FU-47904,Furniture,Chairs,Chairs Model 740,382.02,1,0.1,2.97
79,CA-2016-100078,2016-07-03,2016-07-09,Standard Class,CG-1078,Customer 1078,Consumer,United States,Chicago,Washington,79626,West,OF-16960,Office Supplies,Binders,Binders Model 116,283.85,5,0.2,45.23
80,CA-2016-100079,2016-08-08,2016-08-09,Same Day,CG-1079,Customer 1079,Consumer,United States,New York,Texas,72552,East,OF-87454,Office Supplies,Labels,Labels Model 670,289.24,5,0.0,59.71
81,CA-2017-100080,2017-10-07,2017-10-08,Same Day,CG-1080,Customer 1080,Consumer,United States,Los Angeles,New York,16737,East,FU-46062,Furniture,Bookcases,Bookcases Model 471,2951.73,7,0.1,-357.8
82,CA-2015-100081,2015-01-24,2015-01-26,First Class,CG-1081,Customer 1081,Home Office,United States,Chicago,Washington,12983,Central,TE-30662,Technology,Accessories,Accessories Model 463,1258.2,4,0.2,133.11
83,CA-2014-100082,2014-06-13,2014-06-19,Standard Class,CG-1082,Customer 1082,Home Office,United States,Chicago,New York,49974,Central,FU-26371,Furniture,Furnishings,Furnishings Model 128,419.29,1,0.3,-14.16
84,CA-2017-100083,2017-09-24,2017-09-26,Same Day,CG-1083,Customer 1083,Consumer,United States,New York,Florida,22676,East,OF-20816,Office Supplies,Art,Art Model 788,445.71,7,0.0,114.09
85,CA-2015-100084,2015-04-05,2015-04-08,Second Class,CG-1084,Customer 1084,Consumer,United States,Houston,Florida,53001,Central,OF-77364,Office Supplies,Envelopes,Envelopes Model 160,69.7,1,0.3,2.51
86,CA-2016-100085,2016-08-13,2016-08-15,Same Day,CG-1085,Customer 1085,Home Office,United States,Chicago,Florida,91470,West,OF-48197,Office Supplies,Labels,Labels Model 984,66.09,1,0.5,3.76
87,CA-2015-100086,2015-09-09,2015-09-12,Second Class,CG-1086,Customer 1086,Consumer,United States,New York,California,86898,Central,TE-72483,Technology,Machines,Machines Model 989,879.22,2,0.15,-12.99
88,CA-2015-100087,2015-02-17,2015-02-21,Second Class,CG-1087,Customer 1087,Consumer,United States,Seattle,California,69720,West,TE-44701,Technology,Machines,Machines Model 456,686.35,3,0.15,65.49
89,CA-2014-100088,2014-12-09,2014-12-11,First Class,CG-1088,Customer 1088,Home Office,United States,Seattle,New York,60106,East,FU-91121,Furniture,Bookcases,Bookcases Model 223,546.16,1,0.1,-52.89
90,CA-2015-100089,2015-10-06,2015-10-07,Same Day,CG-1089,Customer 1089,Corporate,United States,Seattle,California,19516,Central,TE-12396,Technology,Phones,Phones Model 214,1781.89,4,0.3,73.51
91,CA-2014-100090,2014-11-13,2014-11-14,Same Day,CG-1090,Customer 1090,Home Office,United States,New York,Washington,43130,East,OF-61756,Office Supplies,Binders,Binders Model 444,398.4,6,0.15,54.95
92,CA-2016-100091,2016-12-05,2016-12-08,Second Class,CG-1091,Customer 1091,Corporate,United States,Los Angeles,Texas,12719,West,TE-32890,Technology,Machines,Machines Model 536,1586.48,5,0.1,139.43
93,CA-2016-100092,2016-12-02,2016-12-06,Second Class,CG-1092,Customer 1092,Home Office,United States,Los Angeles,Florida,47311,East,TE-41575,Technology,Copiers,Copiers Model 464,1236.7,5,0.4,266.05
94,CA-2017-100093,2017-09-02,2017-09-05,Second Class,CG-1093,Customer 1093,Corporate,United States,Seattle,Washington,92197,Central,TE-23507,Technology,Machines,Machines Model 963,841.08,4,0.2,-31.7
95,CA-2015-100094,2015-12-17,2015-12-23,Standard Class,CG-1094,Customer 1094,Corporate,United States,Houston,Washington,37083,South,FU-97046,Furniture,Furnishings,Furnishings Model 128,1266.82,6,0.0,203.08
96,CA-2016-100095,2016-03-26,2016-03-27,Same Day,CG-1095,Customer 1095,Consumer,United States,Seattle,Florida,24288,Central,OF-99186,Office Supplies,Labels,Labels Model 496,72.85,2,0.1,7.57
97,CA-2017-100096,2017-11-02,2017-11-07,Standard Class,CG-1096,Customer 1096,Home Office,United States,Seattle,Washington,38602,West,OF-63331,Office Supplies,Art,Art Model 873,328.43,6,0.2,61.31
98,CA-2017-100097,2017-10-06,2017-10-11,Standard Class,CG-1097,Customer 1097,Consumer,United States,New York,California,92711,Central,OF-36385,Office Supplies,Storage,Storage Model 370,61.9,2,0.3,-1.37
99,CA-2014-100098,2014-01-21,2014-01-27,Standard Class,CG-1098,Customer 1098,Home Office,United States,Houston,Washington,15655,South,FU-54859,Furniture,Tables,Tables Model 477,3723.38,7,0.15,-569.15
100,CA-2014-100099,2014-07-12,2014-07-16,Second Class,CG-1099,Customer 1099,Corporate,United States,New York,Florida,15109,Central,OF-59268,Office Supplies,Envelopes,Envelopes Model 485,133.87,4,0.0,25.43
101,CA-2015-100100,2015-05-18,2015-05-20,Same Day,CG-1100,Customer 1100,Home Office,United States,Houston,California,40087,South,FU-59930,Furniture,Chairs,Chairs Model 313,3058.21,7,0.5,-173.62
102,CA-2015-100101,2015-06-20,2015-06-23,Second Class,CG-1101,Customer 1101,Consumer,United States,Los Angeles,California,37424,Central,TE-55004,Technology,Phones,Phones Model 688,535.92,2,0.1,56.88
103,CA-2015-100102,2015-07-14,2015-07-18,Second Class,CG-1102,Customer 1102,Corporate,United States,New York,California,36015,South,OF-43320,Office Supplies,Binders,Binders Model 469,58.53,2,0.5,1.52
104,CA-2016-100103,2016-11-07,2016-11-10,Second Class,CG-1103,Customer 1103,Corporate,United States,Los Angeles,New York,66446,South,OF-31288,Office Supplies,Appliances,Appliances Model 799,207.43,4,0.2,15.32
105,CA-2017-100104,2017-07-13,2017-07-14,Same Day,CG-1104,Customer 1104,Corporate,United States,Chicago,Florida,30049,East,TE-85717,Technology,Accessories,Accessories Model 822,1134.76,5,0.15,221.67
106,CA-2017-100105,2017-03-10,2017-03-12,First Class,CG-1105,Customer 1105,Consumer,United States,New York,Florida,82541,East,FU-69321,Furniture,Chairs,Chairs Model 123,603.1,3,0.3,3.86
107,CA-2017-100106,2017-04-24,2017-04-28,Second Class,CG-1106,Customer 1106,Consumer,United States,Houston,Texas,36958,South,OF-36017,Office Supplies,Appliances,Appliances Model 873,51.58,1,0.15,5.3
108,CA-2016-100107,2016-12-13,2016-12-17,Second Class,CG-1107,Customer 1107,Corporate,United States,Los Angeles,Florida,33279,Central,FU-88301,Furniture,Tables,Tables Model 698,1261.46,5,0.5,-443.89
109,CA-2015-100108,2015-05-13,2015-05-18,Standard Class,CG-1108,Customer 1108,Corporate,United States,New York,Florida,79350,East,FU-55893,Furniture,Bookcases,Bookcases Model 244,3045.09,6,0.4,-604.22
110,CA-2014-100109,2014-05-01,2014-05-04,First Class,CG-1109,Customer 1109,Consumer,United States,Chicago,Texas,54738,Central,FU-43397,Furniture,Tables,Tables Model 369,2306.23,4,0.2,-652.04
111,CA-2014-100110,2014-09-05,2014-09-09,Second Class,CG-1110,Customer 1110,Corporate,United States,New York,New York,65204,South,OF-61886,Office Supplies,Appliances,Appliances Model 303,172.14,3,0.2,9.43
112,CA-2016-100111,2016-12-15,2016-12-17,Same Day,CG-1111,Customer 1111,Consumer,United States,Los Angeles,Texas,76504,West,FU-57614,Furniture,Furnishings,Furnishings Model 392,903.11,4,0.15,101.38
113,CA-2014-100112,2014-06-21,2014-06-23,First Class,CG-1112,Customer 1112,Corporate,United States,Chicago,Texas,19110,South,TE-89141,Technology,Machines,Machines Model 951,1703.17,5,0.0,176.7
114,CA-2017-100113,2017-10-23,2017-10-27,Second Class,CG-1113,Customer 1113,Corporate,United States,Seattle,Washington,58320,Central,TE-57414,Technology,Copiers,Copiers Model 218,351.83,2,0.3,66.92
115,CA-2015-100114,2015-01-08,2015-01-11,Second Class,CG-1114,Customer 1114,Home Office,United States,Seattle,Washington,36984,East,OF-18125,Office Supplies,Binders,Binders Model 319,27.38,1,0.2,3.81
116,CA-2014-100115,2014-01-25,2014-01-31,Standard Class,CG-1115,Customer 1115,Corporate,United States,New York,New York,35923,East,OF-39165,Office Supplies,Labels,Labels Model 743,138.07,5,0.0,32.05
117,CA-2016-100116,2016-09-19,2016-09-24,Standard Class,CG-1116,Customer 1116,Home Office,United States,New York,Florida,19108,East,FU-87714,Furniture,Tables,Tables Model 927,714.51,3,0.0,-66.16
118,CA-2015-100117,2015-12-26,2015-12-28,First Class,CG-1117,Customer 1117,Consumer,United States,Los Angeles,California,32612,West,OF-16471,Office Supplies,Paper,Paper Model 915,153.86,3,0.4,21.58
119,CA-2017-100118,2017-09-05,2017-09-09,Second Class,CG-1118,Customer 1118,Corporate,United States,Los Angeles,Florida,88714,East,FU-68348,Furniture,Chairs,Chairs Model 120,1826.93,5,0.5,-62.55
120,CA-2016-100119,2016-12-25,2016-12-31,Standard Class,CG-1119,Customer 1119,Home Office,United States,Seattle,Washington,47650,Central,TE-56881,Technology,Machines,Machines Model 433,513.79,3,0.15,-7.21
121,CA-2016-100120,2016-12-08,2016-12-14,Standard Class,CG-1120,Customer 1120,Consumer,United States,Los Angeles,California,96365,West,TE-54139,Technology,Machines,Machines Model 685,792.72,2,0.2,51.32
122,CA-2015-100121,2015-01-10,2015-01-12,Same Day,CG-1121,Customer 1121,Consumer,United States,New York,Florida,81031,Central,TE-52668,Technology,Machines,Machines Model 461,1261.64,4,0.2,-51.72
123,CA-2015-100122,2015-05-09,2015-05-13,Second Class,CG-1122,Customer 1122,Home Office,United States,New York,Texas,44084,Central,TE-65826,Technology,Accessories,Accessories Model 711,331.1,1,0.5,0.74
124,CA-2015-100123,2015-04-01,2015-04-03,First Class,CG-1123,Customer 1123,Home Office,United States,Chicago,Florida,27633,South,OF-27014,Office Supplies,Binders,Binders Model 760,58.72,2,0.3,4.14
125,CA-2016-100124,2016-12-11,2016-12-14,First Class,CG-1124,Customer 1124,Corporate,United States,Los Angeles,New York,42117,West,TE-98700,Technology,Machines,Machines Model 266,347.45,1,0.4,0.0
126,CA-2017-100125,2017-03-26,2017-03-28,Same Day,CG-1125,Customer 1125,Consumer,United States,Houston,Washington,83379,West,TE-24210,Technology,Copiers,Copiers Model 172,765.16,2,0.5,146.72
127,CA-2014-100126,2014-04-17,2014-04-20,First Class,CG-1126,Customer 1126,Consumer,United States,Los Angeles,New York,55113,South,TE-84069,Technology,Phones,Phones Model 937,849.93,2,0.2,104.97
128,CA-2015-100127,2015-03-23,2015-03-29,Standard Class,CG-1127,Customer 1127,Home Office,United States,Houston,Washington,52828,East,OF-58604,Office Supplies,Envelopes,Envelopes Model 386,189.77,4,0.4,16.45
129,CA-2016-100128,2016-09-16,2016-09-20,Second Class,CG-1128,Customer 1128,Consumer,United States,Houston,New York,58231,Central,TE-39301,Technology,Accessories,Accessories Model 616,487.51,1,0.2,26.8
130,CA-2015-100129,2015-06-18,2015-06-20,Same Day,CG-1129,Customer 1129,Consumer,United States,Houston,Florida,29169,South,FU-26163,Furniture,Chairs,Chairs Model 580,3150.58,7,0.0,291.46
131,CA-2016-100130,2016-02-25,2016-03-01,Standard Class,CG-1130,Customer 1130,Corporate,United States,Los Angeles,New York,75450,Central,OF-20382,Office Supplies,Paper,Paper Model 441,64.2,1,0.15,8.37
132,CA-2015-100131,2015-01-06,2015-01-09,First Class,CG-1131,Customer 1131,Consumer,United States,Los Angeles,New York,41750,South,OF-50461,Office Supplies,Appliances,Appliances Model 172,282.36,5,0.15,21.48
133,CA-2015-100132,2015-03-14,2015-03-18,Second Class,CG-1132,Customer 1132,Consumer,United States,Seattle,Florida,21138,Central,TE-45298,Technology,Machines,Machines Model 124,888.0,2,0.1,-4.77
